,salary_in_usd
0,226540
1,47689
2,43016
3,53780
4,108715
5,40706
6,17680
7,15394
8,10488
9,198229
10,35394
11,97255
12,112475
13,18079
14,22788
15,16924
16,24108
17,81965
18,20304
19,41074
20,76191
21,32294
22,100909
23,222252
24,8724
25,63842
26,65374
27,255631
28,70608
29,206079
30,48188
31,34118
32,24533
33,20875
34,5580
35,11693
36,210829
37,9497
38,16252
39,196243
40,65850
41,127076
42,34906
43,167318
44,49908
45,184925
46,85469
47,13867
48,21621
49,41332
50,9444
51,16676
52,110385
53,142560
54,104048
55,28725
56,166671
57,85007
58,89538
59,263827
60,80519
61,170021
62,150425
63,120128
64,164854
65,229116
66,137422
67,117706
68,162752
69,70500
70,94980
71,150444
72,15069
73,15515
74,12466
75,15782
76,14352
77,36593
78,102268
79,125162
80,120610
81,121314
82,65757
83,133312
84,12181
85,112450
86,36606
87,194882
88,229767
89,14283
90,24444
91,118363
92,52763
93,9904
94,90323
95,93798
96,139592
97,61373
98,42720
99,226123
100,177510
101,90509
102,169798
103,204211
104,260203
105,9925
106,108350
